Nomor Seri Faktur Pajak,Number,Line Item,Line Amount
010.002-22.84587570,7,"Transaksi Pulsa Periode 21 - 25 Februari 2022
Rp 18372209789 x 1",18372209789.00
010.002-22.84587571,1,"Fee Transaksi BPJS Kesehatan Periode 16 - 20 Februari 2022
Rp 2547273 x 1",2547273.00
010.002-22.84587571,2,"Fee Transaksi Electricity Periode 16 - 20 Februari 2022
Rp 75946091 x 1",75946091.00
010.002-22.84587571,3,"Fee Transaksi Electricity Postpaid Periode 16 - 20 Februari 2022
Rp 17591318 x 1",17591318.00
010.002-22.84587571,4,"Transaksi Paket Data Periode 16 - 20 Februari 2022
Rp 7354875738 x 1",7354875738.00
010.002-22.84587571,5,"Fee Transaksi PDAM Periode 16 - 20 Februari 2022
Rp 12032816 x 1",12032816.00
010.002-22.84587571,6,"Fee Transaksi PGN Periode 16 - 20 Februari 2022
Rp 66455 x 1",66455.00
010.002-22.84587571,7,"Transaksi Pulsa Periode 16 - 20 Februari 2022
Rp 16506147160 x 1",16506147160.00
010.002-22.84587572,1,"Fee Transaksi BPJS Kesehatan Periode 13 Januari - 5 Februari 2022
Rp 4595455 x 1",4595455.00
010.002-22.84587572,2,"Fee Transaksi Electricity Periode 13 Januari - 5 Februari 2022
Rp 73383545 x 1",73383545.00
010.002-22.84587572,3,"Fee Transaksi Electricity Postpaid Periode 13 Januari - 5 Februari 2022
Rp 6268500 x 1",6268500.00
010.002-22.84587572,4,"Transaksi Paket Data Periode 13 Januari - 5 Februari 2022
Rp 7093807295 x 1",7093807295.00
010.002-22.84587572,5,"Fee Transaksi PDAM Periode 13 Januari - 5 Februari 2022
Rp 4456844 x 1",4456844.00
010.002-22.84587572,6,"Fee Transaksi PGN Periode 13 Januari - 5 Februari 2022
Rp 54091 x 1",54091.00
010.002-22.84587572,7,"Transaksi Pulsa Periode 13 Januari - 5 Februari 2022
Rp 21188933905 x 1",21188933905.00
010.002-22.84587573,1,"Fee Transaksi BPJS Kesehatan Periode 6 - 10 Februari 2022
Rp 4555455 x 1",4555455.00
010.002-22.84587573,2,"Fee Transaksi Electricity Periode 6 - 10 Februari 2022
Rp 68591455 x 1",68591455.00
010.002-22.84587573,3,"Fee Transaksi Electricity Postpaid Periode 6 - 10 Februari 2022
Rp 5955954 x 1",5955954.00
010.002-22.84587573,4,"Transaksi Paket Data Periode 6 - 10 Februari 2022
Rp 7173294005 x 1",7173294005.00
010.002-22.84587573,5,"Fee Transaksi PDAM Periode 6 - 10 Februari 2022
Rp 4679654 x 1",4679654.00
010.002-22.84587573,6,"Fee Transaksi PGN Periode 6 - 10 Februari 2022
Rp 44818 x 1",44818.00
010.002-22.84587573,7,"Transaksi Pulsa Periode 6 - 10 Februari 2022
Rp 16422883413 x 1",16422883413.00
010.002-22.84587228,1,"Fee Transaksi BPJS Kesehatan Periode 29 - 31 Januari 2022
Rp 1654546 x 1",1654546.00
010.002-22.84587228,2,"Fee Transaksi Electricity Periode 29 - 31 Januari 2022
Rp 45778091 x 1",45778091.00
010.002-22.84587228,3,"Fee Transaksi Electricity Postpaid Periode 29 - 31 Januari 2022
Rp 4407955 x 1",4407955.00
010.002-22.84587228,4,"Transaksi Paket Data Periode 29 - 31 Januari 2022
Rp 4353577593 x 1",4353577593.00
010.002-22.84587228,5,"Fee Transaksi PDAM Periode 29 - 31 Januari 2022
Rp 1568075 x 1",1568075.00
010.002-22.84587228,6,"Fee Transaksi PGN Periode 29 - 31 Januari 2022
Rp 21636 x 1",21636.00
010.002-22.84587228,7,"Transaksi Pulsa Periode 29 - 31 Januari 2022
Rp 14163208485 x 1",14163208485.00
010.002-22.84587229,1,"Fee Transaksi BPJS Kesehatan Periode 26 - 28 Januari 2022
Rp 1725455 x 1",1725455.00
010.002-22.84587229,2,"Fee Transaksi Electricity Periode 26 - 28 Januari 2022
Rp 46416273 x 1",46416273.00
010.002-22.84587229,3,"Fee Transaksi Electricity Postpaid Periode 26 - 28 Januari 2022
Rp 4554818 x 1",4554818.00
010.002-22.84587229,4,"Transaksi Paket Data Periode 26 - 28 Januari 2022
Rp 4927763567 x 1",4927763567.00
010.002-22.84587229,5,"Fee Transaksi PDAM Periode 26 - 28 Januari 2022
Rp 2127685 x 1",2127685.00
010.002-22.84587229,6,"Fee Transaksi PGN Periode 26 - 28 Januari 2022
Rp 13909 x 1",13909.00
010.002-22.84587229,7,"Transaksi Pulsa Periode 26 - 28 Januari 2022
Rp 14902055353 x 1",14902055353.00
010.002-22.84587230,1,"Fee Transaksi BPJS Kesehatan Periode 21 - 25 Januari 2022
Rp 2051818 x 1",2051818.00
010.002-22.84587230,2,"Fee Transaksi Electricity Periode 21 - 25 Januari 2022
Rp 71779500 x 1",71779500.00
010.002-22.84587230,3,"Fee Transaksi Electricity Postpaid Periode 21 - 25 Januari 2022
Rp 8308637 x 1",8308637.00
010.002-22.84587230,4,"Transaksi Paket Data Periode 21 - 25 Januari 2022
Rp 6693544269 x 1",6693544269.00
010.002-22.84587230,5,"Fee Transaksi PDAM Periode 21 - 25 Januari 2022
Rp 4469271 x 1",4469271.00
010.002-22.84587230,6,"Fee Transaksi PGN Periode 21 - 25 Januari 2022
Rp 27818 x 1",27818.00
010.002-22.84587230,7,"Transaksi Pulsa Periode 21 - 25 Januari 2022
Rp 20960165818 x 1",20960165818.00
010.002-22.84587231,1,"Fee Transaksi BPJS Kesehatan Periode 11 - 20 Januari 2022
Rp 2404546 x 1",2404546.00
010.002-22.84587231,2,"Fee Transaksi Electricity Periode 11 - 20 Januari 2022
Rp 62684182 x 1",62684182.00
010.002-22.84587231,3,"Fee Transaksi Electricity Postpaid Periode 11 - 20 Januari 2022
Rp 15588000 x 1",15588000.00
010.002-22.84587231,4,"Transaksi Paket Data Periode 11 - 20 Januari 2022
Rp 6326876536 x 1",6326876536.00
010.002-22.84587231,5,"Fee Transaksi PDAM Periode 11 - 20 Januari 2022
Rp 9915447 x 1",9915447.00
010.002-22.84587231,6,"Fee Transaksi PGN Periode 11 - 20 Januari 2022
Rp 47909 x 1",47909.00
010.002-22.84587231,7,"Transaksi Pulsa Periode 11 - 20 Januari 2022
Rp 18573705218 x 1",18573705218.00
010.002-22.84587232,1,"Fee Transaksi BPJS Kesehatan Periode 11 - 15 Januari 2022
Rp 3819091 x 1",3819091.00
010.002-22.84587232,2,"Fee Transaksi Electricity Periode 11 - 15 Januari 2022
Rp 63009409 x 1",63009409.00
010.002-22.84587232,3,"Fee Transaksi Electricity Postpaid Periode 11 - 15 Januari 2022
Rp 8147455 x 1",8147455.00
010.002-22.84587232,4,"Transaksi Paket Data Periode 11 - 15 Januari 2022
Rp 6977947460 x 1",6977947460.00
010.002-22.84587232,5,"Fee Transaksi PDAM Periode 11 - 15 Januari 2022
Rp 6271120 x 1",6271120.00
010.002-22.84587232,6,"Fee Transaksi PGN Periode 11 - 15 Januari 2022
Rp 27818 x 1",27818.00
010.002-22.84587232,7,"Transaksi Pulsa Periode 11 - 15 Januari 2022
Rp 20225329464 x 1",20225329464.00
010.002-22.84587233,1,"Fee Transaksi BPJS Kesehatan Periode 6 - 10 Januari 2022
Rp 3991818 x 1",3991818.00
010.002-22.84587233,2,"Fee Transaksi Electricity Periode 6 - 10 Januari 2022
Rp 56683227 x 1",56683227.00
010.002-22.84587233,3,"Fee Transaksi Electricity Postpaid Periode 6 - 10 Januari 2022
Rp 4503682 x 1",4503682.00
010.002-22.84587233,4,"Transaksi Paket Data Periode 6 - 10 Januari 2022
Rp 6444510196 x 1",6444510196.00
010.002-22.84587233,5,"Fee Transaksi PDAM Periode 6 - 10 Januari 2022
Rp 3603418 x 1",3603418.00
010.002-22.84587233,6,"Fee Transaksi PGN Periode 6 - 10 Januari 2022
Rp 21637 x 1",21637.00
010.002-22.84587233,7,"Transaksi Pulsa Periode 6 - 10 Januari 2022
Rp 15992287746 x 1",15992287746.00
010.002-22.84587234,1,"Fee Transaksi BPJS Kesehatan Periode 1 - 5 Januari 2022
Rp 4249091 x 1",4249091.00
010.002-22.84587234,2,"Fee Transaksi Electricity Periode 1 - 5 Januari 2022
Rp 57665045 x 1",57665045.00
010.002-22.84587234,3,"Fee Transaksi Electricity Postpaid Periode 1 - 5 Januari 2022
Rp 4960636 x 1",4960636.00
010.002-22.84587234,4,"Transaksi Paket Data Periode 1 - 5 Januari 2022
Rp 7311723609 x 1",7311723609.00
010.002-22.84587234,5,"Fee Transaksi PDAM Periode 1 - 5 Januari 2022
Rp 4621616 x 1",4621616.00
010.002-22.84587234,6,"Fee Transaksi PGN Periode 1 - 5 Januari 2022
Rp 20091 x 1",20091.00
010.002-22.84587234,7,"Transaksi Pulsa Periode 1 - 5 Januari 2022
Rp 15486674677 x 1",15486674677.00
